identity_id,display_name,image_id,title,source_url,download_url,description_url,mime,width,height,license_short_name,license_url,artist,credit,attribution_required,usage_terms,image_description,processed_image_path
kamala_harris,Kamala Harris,kamala_harris_02,File:Kamala Harris official photo.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d6/Kamala_Harris_official_photo.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Kamala_Harris_official_photo.jpg/1280px-Kamala_Harris_official_photo.jpg,https://commons.wikimedia.org/wiki/File:Kamala_Harris_official_photo.jpg,image/jpeg,4032,6048,Public domain,,Office of Senator Kamala Harris,https://www.harris.senate.gov/news#photos,false,Public domain,Official headshot of United States Senator Kamala Harris (D-CA).,identity_layers/datasets/wikimedia_identity_probe/images/kamala_harris/kamala_harris_02.jpg
kamala_harris,Kamala Harris,kamala_harris_03,File:Kamala Harris Official Portrait 2021.png,https://upload.wikimedia.org/wikipedia/commons/2/29/Kamala_Harris_Official_Portrait_2021.png,https://upload.wikimedia.org/wikipedia/commons/2/29/Kamala_Harris_Official_Portrait_2021.png,https://commons.wikimedia.org/wiki/File:Kamala_Harris_Official_Portrait_2021.png,image/png,720,869,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,V11012,Own work,true,Creative Commons Attribution-Share Alike 4.0,"Kamala Harris official portrait, 2021",identity_layers/datasets/wikimedia_identity_probe/images/kamala_harris/kamala_harris_03.jpg
hillary_clinton,Hillary Clinton,hillary_clinton_01,File:Hillary Clinton official Secretary of State portrait crop.jpg,https://upload.wikimedia.org/wikipedia/commons/2/27/Hillary_Clinton_official_Secretary_of_State_portrait_crop.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Hillary_Clinton_official_Secretary_of_State_portrait_crop.jpg/1280px-Hillary_Clinton_official_Secretary_of_State_portrait_crop.jpg,https://commons.wikimedia.org/wiki/File:Hillary_Clinton_official_Secretary_of_State_portrait_crop.jpg,image/jpeg,2070,2588,Public domain,,United States Department of State,Official Photo at Department of State page,false,Public domain,Official portrait of Secretary of State Hillary Clinton.,identity_layers/datasets/wikimedia_identity_probe/images/hillary_clinton/hillary_clinton_01.jpg
hillary_clinton,Hillary Clinton,hillary_clinton_02,File:Hillary Rodham Clinton.jpg,https://upload.wikimedia.org/wikipedia/commons/d/dd/Hillary_Rodham_Clinton.jpg,https://upload.wikimedia.org/wikipedia/commons/d/dd/Hillary_Rodham_Clinton.jpg,https://commons.wikimedia.org/wiki/File:Hillary_Rodham_Clinton.jpg,image/jpeg,1200,1500,Public domain,,United States Senate.,"http://clinton.senate.gov/about/photos/ at the Internet Archive, archived 2005-07-24",false,Public domain,Official portrait of Hillary Rodham Clinton,identity_layers/datasets/wikimedia_identity_probe/images/hillary_clinton/hillary_clinton_02.jpg
hillary_clinton,Hillary Clinton,hillary_clinton_03,File:Hillary Clinton Portrait (3x4 close cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/9/97/Hillary_Clinton_Portrait_%283x4_close_cropped%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Hillary_Clinton_Portrait_%283x4_close_cropped%29.jpg/1280px-Hillary_Clinton_Portrait_%283x4_close_cropped%29.jpg,https://commons.wikimedia.org/wiki/File:Hillary_Clinton_Portrait_(3x4_close_cropped).jpg,image/jpeg,1301,1719,Public domain,,United States Department of State,Official Photo at Department of State page,false,Public domain,Hillary Clinton,identity_layers/datasets/wikimedia_identity_probe/images/hillary_clinton/hillary_clinton_03.jpg
donald_trump,Donald Trump,donald_trump_01,File:Donald Trump official portrait.jpg,https://upload.wikimedia.org/wikipedia/commons/5/56/Donald_Trump_official_portrait.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Donald_Trump_official_portrait.jpg/1280px-Donald_Trump_official_portrait.jpg,https://commons.wikimedia.org/wiki/File:Donald_Trump_official_portrait.jpg,image/jpeg,2250,2850,Public domain,,Shealeah Craighead,This image  is available from the United States Library of Congress's Prints and Photographs division under the digital ID ppbd.00608.This tag does not indicate the copyright status of the attached work. A normal copyright tag is still required. See Commons:Licensing.,false,Public domain,"President Donald Trump poses for his official portrait at The White House, in Washington, D.C., on Friday, October 6, 2017.  (Official White House Photo by Shealah Craighead)",identity_layers/datasets/wikimedia_identity_probe/images/donald_trump/donald_trump_01.jpg
donald_trump,Donald Trump,donald_trump_02,File:Donald Trump official portrait (cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/5/53/Donald_Trump_official_portrait_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Donald_Trump_official_portrait_%28cropped%29.jpg/1280px-Donald_Trump_official_portrait_%28cropped%29.jpg,https://commons.wikimedia.org/wiki/File:Donald_Trump_official_portrait_(cropped).jpg,image/jpeg,1520,2096,Public domain,,Shealeah Craighead,White House,false,Public domain,"President Donald Trump poses for his official portrait at The White House, in Washington, D.C., on Friday, October 6, 2017. (Official White House Photo by Shealah Craighead)",identity_layers/datasets/wikimedia_identity_probe/images/donald_trump/donald_trump_02.jpg
donald_trump,Donald Trump,donald_trump_03,File:President-Donald-Trump-Official-Presidential-Portrait.png,https://upload.wikimedia.org/wikipedia/commons/5/52/President-Donald-Trump-Official-Presidential-Portrait.png,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/President-Donald-Trump-Official-Presidential-Portrait.png/1280px-President-Donald-Trump-Official-Presidential-Portrait.png,https://commons.wikimedia.org/wiki/File:President-Donald-Trump-Official-Presidential-Portrait.png,image/png,1335,1688,Public domain,,Daniel Torok,https://www.whitehouse.gov/wp-content/uploads/2025/06/President-Donald-Trump-Official-Presidential-Portrait.png,false,Public domain,Official portrait of Donald Trump's second term as president.,identity_layers/datasets/wikimedia_identity_probe/images/donald_trump/donald_trump_03.jpg
angela_merkel,Angela Merkel,angela_merkel_01,File:Angela Merkel IMG 4162 edit.jpg,https://upload.wikimedia.org/wikipedia/commons/2/26/Angela_Merkel_IMG_4162_edit.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Angela_Merkel_IMG_4162_edit.jpg/1280px-Angela_Merkel_IMG_4162_edit.jpg,https://commons.wikimedia.org/wiki/File:Angela_Merkel_IMG_4162_edit.jpg,image/jpeg,1975,3253,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,Christoph Braun,Own work,false,"Creative Commons Zero, Public Domain Dedication","Portrait of Angela Merkel (CDU), Chancellor of Germany. Picture taken in february 17, 2011 in the Congress Center, Hamburg.",identity_layers/datasets/wikimedia_identity_probe/images/angela_merkel/angela_merkel_01.jpg
angela_merkel,Angela Merkel,angela_merkel_02,File:Angela Merkel. Tallinn Digital Summit.jpg,https://upload.wikimedia.org/wikipedia/commons/b/bf/Angela_Merkel._Tallinn_Digital_Summit.jpg,https://upload.wikimedia.org/wikipedia/commons/b/bf/Angela_Merkel._Tallinn_Digital_Summit.jpg,https://commons.wikimedia.org/wiki/File:Angela_Merkel._Tallinn_Digital_Summit.jpg,image/jpeg,480,663,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,EU2017EE Estonian Presidency,This image has been extracted from another file,true,Creative Commons Attribution 2.0,Angela Merkel. Tallinn Digital Summit,identity_layers/datasets/wikimedia_identity_probe/images/angela_merkel/angela_merkel_02.jpg
angela_merkel,Angela Merkel,angela_merkel_03,File:Angela Merkel Portrait.png,https://upload.wikimedia.org/wikipedia/commons/e/e5/Angela_Merkel_Portrait.png,https://upload.wikimedia.org/wikipedia/commons/e/e5/Angela_Merkel_Portrait.png,https://commons.wikimedia.org/wiki/File:Angela_Merkel_Portrait.png,image/png,1000,667,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,FNDE,Own work,true,Creative Commons Attribution-Share Alike 4.0,"Angela Merkel, Auftritt als Bundeskanzlerin",identity_layers/datasets/wikimedia_identity_probe/images/angela_merkel/angela_merkel_03.jpg
emmanuel_macron,Emmanuel Macron,emmanuel_macron_01,File:Emmanuel Macron par Claude Truong-Ngoc avril 2015.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f4/Emmanuel_Macron_par_Claude_Truong-Ngoc_avril_2015.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Emmanuel_Macron_par_Claude_Truong-Ngoc_avril_2015.jpg/1280px-Emmanuel_Macron_par_Claude_Truong-Ngoc_avril_2015.jpg,https://commons.wikimedia.org/wiki/File:Emmanuel_Macron_par_Claude_Truong-Ngoc_avril_2015.jpg,image/jpeg,3663,5494,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Photo Claude TRUONG-NGOC,Own work,true,Creative Commons Attribution-Share Alike 3.0,"Emmanuel Macron, né le 21 décembre 1977 à Amiens, est un haut fonctionnaire et homme politique français.

Ancien secrétaire général adjoint au cabinet du président de la République française,  ministre de l'Économie, de l'Industrie et du Numérique dans le gouvernement Manuel Valls II et depuis le 14 mai 2017, hutième Président de la République Française.",identity_layers/datasets/wikimedia_identity_probe/images/emmanuel_macron/emmanuel_macron_01.jpg
emmanuel_macron,Emmanuel Macron,emmanuel_macron_02,File:Emmanuel Macron (cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/c/c3/Emmanuel_Macron_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c3/Emmanuel_Macron_%28cropped%29.jpg,https://commons.wikimedia.org/wiki/File:Emmanuel_Macron_(cropped).jpg,image/jpeg,521,745,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,"Arno Mikkor, EU2017EE Estonian Presidency",Tallinn Digital Summit. Welcome dinner hosted by HE Donald Tusk. Handshake,true,Creative Commons Attribution 2.0,"Emmanuel Macron, Tallinn Digital Summit, 2017",identity_layers/datasets/wikimedia_identity_probe/images/emmanuel_macron/emmanuel_macron_02.jpg
emmanuel_macron,Emmanuel Macron,emmanuel_macron_03,File:Emmanuel Macron August 2024.jpg,https://upload.wikimedia.org/wikipedia/commons/a/ac/Emmanuel_Macron_August_2024.jpg,https://upload.wikimedia.org/wikipedia/commons/a/ac/Emmanuel_Macron_August_2024.jpg,https://commons.wikimedia.org/wiki/File:Emmanuel_Macron_August_2024.jpg,image/jpeg,1069,1425,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,Simon Dawson,https://www.flickr.com/photos/49707497@N06/53953332287/,true,Creative Commons Attribution 2.0,Macron in August 2024.,identity_layers/datasets/wikimedia_identity_probe/images/emmanuel_macron/emmanuel_macron_03.jpg
justin_trudeau,Justin Trudeau,justin_trudeau_01,File:Justin Trudeau supporting Gerard Kennedy 2.jpg,https://upload.wikimedia.org/wikipedia/commons/3/3d/Justin_Trudeau_supporting_Gerard_Kennedy_2.jpg,https://upload.wikimedia.org/wikipedia/commons/3/3d/Justin_Trudeau_supporting_Gerard_Kennedy_2.jpg,https://commons.wikimedia.org/wiki/File:Justin_Trudeau_supporting_Gerard_Kennedy_2.jpg,image/jpeg,960,1280,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,ycanada_news,https://www.flickr.com/photos/73097606@N00/311478283/,true,Creative Commons Attribution 2.0,Justin Trudeau at the 2006 Liberal leadership convention.,identity_layers/datasets/wikimedia_identity_probe/images/justin_trudeau/justin_trudeau_01.jpg
justin_trudeau,Justin Trudeau,justin_trudeau_02,File:Justin Trudeau at the European Commission - 2025.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f3/Justin_Trudeau_at_the_European_Commission_-_2025.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Justin_Trudeau_at_the_European_Commission_-_2025.jpg/1280px-Justin_Trudeau_at_the_European_Commission_-_2025.jpg,https://commons.wikimedia.org/wiki/File:Justin_Trudeau_at_the_European_Commission_-_2025.jpg,image/jpeg,1561,2342,Attribution,,European Union,https://newsroom.consilium.europa.eu/permalink/p199341,,,Justin Trudeau at the European Commission,identity_layers/datasets/wikimedia_identity_probe/images/justin_trudeau/justin_trudeau_02.jpg
justin_trudeau,Justin Trudeau,justin_trudeau_03,"File:Justin Trudeau in Lima, Peru - 2018 (41507133581) (cropped).jpg",https://upload.wikimedia.org/wikipedia/commons/a/a9/Justin_Trudeau_in_Lima%2C_Peru_-_2018_%2841507133581%29_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a9/Justin_Trudeau_in_Lima%2C_Peru_-_2018_%2841507133581%29_%28cropped%29.jpg,"https://commons.wikimedia.org/wiki/File:Justin_Trudeau_in_Lima,_Peru_-_2018_(41507133581)_(cropped).jpg",image/jpeg,497,744,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,Presidencia de la República Mexicana,https://www.flickr.com/photos/presidenciamx/41507133581/,true,Creative Commons Attribution 2.0,"Justin Trudeau in Lima, Peru in 2018",identity_layers/datasets/wikimedia_identity_probe/images/justin_trudeau/justin_trudeau_03.jpg
jacinda_ardern,Jacinda Ardern,jacinda_ardern_01,File:Jacinda Ardern at the 2025 Sundance Film Festival 05.jpg,https://upload.wikimedia.org/wikipedia/commons/5/56/Jacinda_Ardern_at_the_2025_Sundance_Film_Festival_05.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Jacinda_Ardern_at_the_2025_Sundance_Film_Festival_05.jpg/1280px-Jacinda_Ardern_at_the_2025_Sundance_Film_Festival_05.jpg,https://commons.wikimedia.org/wiki/File:Jacinda_Ardern_at_the_2025_Sundance_Film_Festival_05.jpg,image/jpeg,3456,5184,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Adam Chitayat,Own work,true,Creative Commons Attribution-Share Alike 4.0,"Jacinda Ardern, former prime minister, at the 2025 Sundance Film Festival for the movie Prime Minister.",identity_layers/datasets/wikimedia_identity_probe/images/jacinda_ardern/jacinda_ardern_01.jpg
jacinda_ardern,Jacinda Ardern,jacinda_ardern_02,File:Jacinda Ardern at the 2025 Sundance Film Festival 07.jpg,https://upload.wikimedia.org/wikipedia/commons/0/06/Jacinda_Ardern_at_the_2025_Sundance_Film_Festival_07.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Jacinda_Ardern_at_the_2025_Sundance_Film_Festival_07.jpg/1280px-Jacinda_Ardern_at_the_2025_Sundance_Film_Festival_07.jpg,https://commons.wikimedia.org/wiki/File:Jacinda_Ardern_at_the_2025_Sundance_Film_Festival_07.jpg,image/jpeg,3456,5184,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Adam Chitayat,Own work,true,Creative Commons Attribution-Share Alike 4.0,"Jacinda Ardern, former prime minister, at the 2025 Sundance Film Festival for the movie Prime Minister.",identity_layers/datasets/wikimedia_identity_probe/images/jacinda_ardern/jacinda_ardern_02.jpg
jacinda_ardern,Jacinda Ardern,jacinda_ardern_03,File:Jacinda Ardern at the 2025 Sundance Film Festival 04.jpg,https://upload.wikimedia.org/wikipedia/commons/7/77/Jacinda_Ardern_at_the_2025_Sundance_Film_Festival_04.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Jacinda_Ardern_at_the_2025_Sundance_Film_Festival_04.jpg/1280px-Jacinda_Ardern_at_the_2025_Sundance_Film_Festival_04.jpg,https://commons.wikimedia.org/wiki/File:Jacinda_Ardern_at_the_2025_Sundance_Film_Festival_04.jpg,image/jpeg,3456,5184,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Adam Chitayat,Own work,true,Creative Commons Attribution-Share Alike 4.0,"Jacinda Ardern, former prime minister, at the 2025 Sundance Film Festival for the movie Prime Minister.",identity_layers/datasets/wikimedia_identity_probe/images/jacinda_ardern/jacinda_ardern_03.jpg
narendra_modi,Narendra Modi,narendra_modi_01,File:Narendra Damodardas Modi.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d9/Narendra_Damodardas_Modi.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d9/Narendra_Damodardas_Modi.jpg,https://commons.wikimedia.org/wiki/File:Narendra_Damodardas_Modi.jpg,image/jpeg,1024,768,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,Narendra Modi,"Flickr: Narendra Modi





This file comes from Narendra Modi's official Flickr account.
This tag does not indicate the copyright status of the attached work. A normal copyright tag is still required. See Commons:Licensing.",true,Creative Commons Attribution 2.0,"Narendra Modi, Chief Minister of Gujarat",identity_layers/datasets/wikimedia_identity_probe/images/narendra_modi/narendra_modi_01.jpg
narendra_modi,Narendra Modi,narendra_modi_02,"File:The official portrait of Shri Narendra Modi, the Prime Minister of the Republic of India.jpg",https://upload.wikimedia.org/wikipedia/commons/5/5f/The_official_portrait_of_Shri_Narendra_Modi%2C_the_Prime_Minister_of_the_Republic_of_India.jpg,https://upload.wikimedia.org/wikipedia/commons/5/5f/The_official_portrait_of_Shri_Narendra_Modi%2C_the_Prime_Minister_of_the_Republic_of_India.jpg,"https://commons.wikimedia.org/wiki/File:The_official_portrait_of_Shri_Narendra_Modi,_the_Prime_Minister_of_the_Republic_of_India.jpg",image/jpeg,371,463,GODL-India,https://data.gov.in/sites/default/files/Gazette_Notification_OGDL.pdf,Prime Minister's Office,PM India Gallery link Direct link,true,Government Open Data License – India,"Official portrait of the Prime Minister of the Republic of India, Shri Narendra Damodardas Modi.",identity_layers/datasets/wikimedia_identity_probe/images/narendra_modi/narendra_modi_02.jpg
narendra_modi,Narendra Modi,narendra_modi_03,File:Narendra Modi 2021 (cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/6/66/Narendra_Modi_2021_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/commons/6/66/Narendra_Modi_2021_%28cropped%29.jpg,https://commons.wikimedia.org/wiki/File:Narendra_Modi_2021_(cropped).jpg,image/jpeg,1161,1590,GODL-India,https://data.gov.in/sites/default/files/Gazette_Notification_OGDL.pdf,Prime Minister's Office,"This file or its source was published by Press Information Bureau on behalf of Prime Minister's Office, Government of India under the ID 96208. (direct link)
This tag does not indicate the copyright status of the attached work. A normal copyright tag is still required. See Commons:Licensing.


العربية ∙ বাংলা ∙ English ∙ हिन्दी ∙ 日本語 ∙ македонски ∙ മലയാളം ∙ polski ∙ தமிழ் ∙ ತುಳು ∙ 中文 ∙ 中文（简体） ∙ 中文（繁體） ∙ +/−",true,Government Open Data License – India,"Prime Minister of India Shri Narendra Modi in New Delhi on February 22, 2021.",identity_layers/datasets/wikimedia_identity_probe/images/narendra_modi/narendra_modi_03.jpg
rishi_sunak,Rishi Sunak,rishi_sunak_01,File:Chancellor Rishi Sunak.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f0/Chancellor_Rishi_Sunak.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Chancellor_Rishi_Sunak.jpg/1280px-Chancellor_Rishi_Sunak.jpg,https://commons.wikimedia.org/wiki/File:Chancellor_Rishi_Sunak.jpg,image/jpeg,6720,4480,OGL 3,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3,HM Treasury,Flickr: The Chancellor records a public information film,true,Open Government License 3,The Chancellor Rishi Sunak records a public information film explaining where businesses and employees can find information about government support during the coronavirus crisis,identity_layers/datasets/wikimedia_identity_probe/images/rishi_sunak/rishi_sunak_01.jpg
rishi_sunak,Rishi Sunak,rishi_sunak_02,File:Official Portrait of Prime Minister Rishi Sunak (crop with flag).jpg,https://upload.wikimedia.org/wikipedia/commons/3/30/Official_Portrait_of_Prime_Minister_Rishi_Sunak_%28crop_with_flag%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Official_Portrait_of_Prime_Minister_Rishi_Sunak_%28crop_with_flag%29.jpg/1280px-Official_Portrait_of_Prime_Minister_Rishi_Sunak_%28crop_with_flag%29.jpg,https://commons.wikimedia.org/wiki/File:Official_Portrait_of_Prime_Minister_Rishi_Sunak_(crop_with_flag).jpg,image/jpeg,2262,2827,OGL 3,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3,Prime Minister's Office,Flickr: https://www.flickr.com/photos/number10gov/albums/72177720308883137,true,Open Government License 3,"24/11/2022. London, United Kingdom. Portrait of Prime Minister Rishi Sunak in 10 Downing Street. Picture by Simon Walker / No 10 Downing Street",identity_layers/datasets/wikimedia_identity_probe/images/rishi_sunak/rishi_sunak_02.jpg
